采样日期,点位名称,采样经度,采样纬度,pH值,溶解氧,电导率,浑浊度,氨氮,耗氧量
2021/06/26 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.24,466.0,15.0,0.07,2.36
2021/06/26 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.23,466.0,15.0,0.07,2.37
2021/06/27 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.23,466.0,15.0,0.07,2.38
2021/06/27 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.22,466.0,16.0,0.07,2.39
2021/06/27 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.22,465.0,16.0,0.07,2.4
2021/06/27 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.22,465.0,16.0,0.07,2.41
2021/06/28 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.22,465.0,17.0,0.07,2.42
2021/06/28 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.22,464.0,17.0,0.07,2.44
2021/06/28 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.22,464.0,17.0,0.06,2.45
2021/06/28 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.22,463.0,18.0,0.06,2.47
2021/06/29 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.22,463.0,18.0,0.06,2.49
2021/06/29 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.22,462.0,18.0,0.06,2.5
2021/06/29 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,6.23,462.0,18.0,0.06,2.52
2021/06/29 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.23,461.0,19.0,0.06,2.54
2021/06/30 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.23,461.0,19.0,0.06,2.56
2021/06/30 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.23,460.0,19.0,0.06,2.58
2021/06/30 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.23,460.0,20.0,0.06,2.6
2021/06/30 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.24,459.0,20.0,0.06,2.62
2021/07/01 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.24,459.0,20.0,0.06,2.63
2021/07/01 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.24,459.0,21.0,0.06,2.65
2021/07/01 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.24,458.0,21.0,0.06,2.67
2021/07/01 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.24,458.0,21.0,0.06,2.69
2021/07/02 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.24,458.0,21.0,0.06,2.7
2021/07/02 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.24,457.0,22.0,0.06,2.72
2021/07/02 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.24,457.0,22.0,0.06,2.74
2021/07/02 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.23,457.0,22.0,0.06,2.75
2021/07/03 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.23,457.0,22.0,0.05,2.77
2021/07/03 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.23,457.0,23.0,0.05,2.78
2021/07/03 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.22,457.0,23.0,0.05,2.79
2021/07/03 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.22,457.0,23.0,0.05,2.81
2021/07/04 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.22,457.0,23.0,0.05,2.82
2021/07/04 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.21,457.0,23.0,0.05,2.83
2021/07/04 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.21,457.0,24.0,0.05,2.85
2021/07/04 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.2,457.0,24.0,0.05,2.86
2021/07/05 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.2,457.0,24.0,0.05,2.87
2021/07/05 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.19,457.0,24.0,0.05,2.88
2021/07/05 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.19,457.0,24.0,0.05,2.89
2021/07/05 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.18,457.0,24.0,0.05,2.9
2021/07/06 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.18,457.0,25.0,0.05,2.91
2021/07/06 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.17,457.0,25.0,0.05,2.92
2021/07/06 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.16,457.0,25.0,0.05,2.93
2021/07/06 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.16,457.0,25.0,0.05,2.94
2021/07/07 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.15,457.0,25.0,0.05,2.95
2021/07/07 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.15,457.0,25.0,0.05,2.95
2021/07/07 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.14,458.0,25.0,0.05,2.96
2021/07/07 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.14,458.0,26.0,0.05,2.97
2021/07/08 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.13,458.0,26.0,0.05,2.98
2021/07/08 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.13,458.0,26.0,0.05,2.99
2021/07/08 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.12,458.0,26.0,0.05,2.99
2021/07/08 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.12,458.0,26.0,0.05,3.0
2021/07/09 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.11,459.0,26.0,0.05,3.01
2021/07/09 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.11,459.0,26.0,0.05,3.01
2021/07/09 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.11,459.0,26.0,0.05,3.02
2021/07/09 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.1,459.0,26.0,0.05,3.02
2021/07/10 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.1,459.0,26.0,0.05,3.03
2021/07/10 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.1,459.0,26.0,0.05,3.04
2021/07/10 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.1,459.0,27.0,0.05,3.04
2021/07/10 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.1,460.0,27.0,0.05,3.05
2021/07/11 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.1,460.0,27.0,0.05,3.05
2021/07/11 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.1,460.0,27.0,0.05,3.06
2021/07/11 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.1,460.0,27.0,0.05,3.06
2021/07/11 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.1,460.0,27.0,0.05,3.07
2021/07/12 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.1,460.0,27.0,0.05,3.07
2021/07/12 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.1,460.0,27.0,0.05,3.08
2021/07/12 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.11,460.0,27.0,0.05,3.08
2021/07/12 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.11,460.0,27.0,0.05,3.09
2021/07/13 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.12,460.0,27.0,0.05,3.09
2021/07/13 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.12,460.0,27.0,0.05,3.1
2021/07/13 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.13,460.0,27.0,0.05,3.1
2021/07/13 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.14,460.0,27.0,0.05,3.1
2021/07/14 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.14,460.0,27.0,0.05,3.11
2021/07/14 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.15,460.0,27.0,0.05,3.11
2021/07/14 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.16,460.0,27.0,0.05,3.12
2021/07/14 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.17,460.0,27.0,0.05,3.12
2021/07/15 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.18,459.0,27.0,0.05,3.13
2021/07/15 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.19,459.0,27.0,0.05,3.13
2021/07/15 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.2,459.0,27.0,0.05,3.13
2021/07/15 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.21,459.0,27.0,0.05,3.14
2021/07/16 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.22,459.0,27.0,0.05,3.14
2021/07/16 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.23,459.0,27.0,0.05,3.15
2021/07/16 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.24,458.0,27.0,0.05,3.15
2021/07/16 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.25,458.0,27.0,0.05,3.15
2021/07/17 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.26,458.0,27.0,0.06,3.16
2021/07/17 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.27,458.0,27.0,0.06,3.16
2021/07/17 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.29,458.0,27.0,0.06,3.16
2021/07/17 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.3,457.0,27.0,0.06,3.17
2021/07/18 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.31,457.0,27.0,0.06,3.17
2021/07/18 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.32,457.0,27.0,0.06,3.18
2021/07/18 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.34,457.0,27.0,0.06,3.18
2021/07/18 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.35,456.0,27.0,0.06,3.18
2021/07/19 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.36,456.0,27.0,0.06,3.19
2021/07/19 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.38,456.0,27.0,0.06,3.19
2021/07/19 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.39,455.0,27.0,0.06,3.19
2021/07/19 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.4,455.0,27.0,0.06,3.2
2021/07/20 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.41,455.0,27.0,0.06,3.2
2021/07/20 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.43,454.0,27.0,0.06,3.2
2021/07/20 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.44,454.0,27.0,0.06,3.2
2021/07/20 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.45,454.0,27.0,0.06,3.21
2021/07/21 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.46,454.0,27.0,0.06,3.21
2021/07/21 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.48,453.0,27.0,0.06,3.21
2021/07/21 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.49,453.0,27.0,0.06,3.22
2021/07/21 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.5,453.0,27.0,0.06,3.22
2021/07/22 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.51,452.0,27.0,0.06,3.22
2021/07/22 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.52,452.0,27.0,0.06,3.22
2021/07/22 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.53,452.0,27.0,0.06,3.23
2021/07/22 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.54,451.0,27.0,0.06,3.23
2021/07/23 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.55,451.0,27.0,0.06,3.23
2021/07/23 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.56,450.0,27.0,0.06,3.23
2021/07/23 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.57,450.0,27.0,0.06,3.24
2021/07/23 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.58,450.0,27.0,0.06,3.24
2021/07/24 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.59,449.0,27.0,0.06,3.24
2021/07/24 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.6,449.0,27.0,0.06,3.24
2021/07/24 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.61,449.0,27.0,0.06,3.25
2021/07/24 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.62,448.0,27.0,0.07,3.25
2021/07/25 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.62,448.0,27.0,0.07,3.25
2021/07/25 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.63,448.0,27.0,0.07,3.25
2021/07/25 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.64,447.0,27.0,0.07,3.25
2021/07/25 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.64,447.0,27.0,0.07,3.26
2021/07/26 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.65,447.0,27.0,0.07,3.26
2021/07/26 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.65,446.0,27.0,0.07,3.26
2021/07/26 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.66,446.0,27.0,0.07,3.26
2021/07/26 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.66,446.0,27.0,0.07,3.26
2021/07/27 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.67,445.0,27.0,0.07,3.27
2021/07/27 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.67,445.0,27.0,0.07,3.27
2021/07/27 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.67,445.0,27.0,0.07,3.27
2021/07/27 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.68,444.0,27.0,0.07,3.27
2021/07/28 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.68,444.0,27.0,0.07,3.27
2021/07/28 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.68,444.0,28.0,0.07,3.28
2021/07/28 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.68,443.0,28.0,0.07,3.28
2021/07/28 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.68,443.0,28.0,0.07,3.28
2021/07/29 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.69,443.0,28.0,0.07,3.28
2021/07/29 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.69,443.0,28.0,0.07,3.28
2021/07/29 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.69,442.0,28.0,0.07,3.28
2021/07/29 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.68,442.0,28.0,0.07,3.28
2021/07/30 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.68,442.0,28.0,0.07,3.29
2021/07/30 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.68,441.0,28.0,0.07,3.29
2021/07/30 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.68,441.0,28.0,0.07,3.29
2021/07/30 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.68,441.0,28.0,0.07,3.29
2021/07/31 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.67,441.0,28.0,0.07,3.29
2021/07/31 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.67,440.0,28.0,0.07,3.29
2021/07/31 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.67,440.0,28.0,0.07,3.29
2021/07/31 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.66,440.0,28.0,0.07,3.29
2021/08/01 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.65,440.0,28.0,0.07,3.29
2021/08/01 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.65,440.0,28.0,0.07,3.3
2021/08/01 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.64,439.0,28.0,0.07,3.3
2021/08/01 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.7,6.64,439.0,28.0,0.07,3.3
2021/08/02 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.63,439.0,28.0,0.08,3.3
2021/08/02 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.62,439.0,28.0,0.08,3.3
2021/08/02 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.61,439.0,28.0,0.08,3.3
2021/08/02 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.6,439.0,28.0,0.08,3.3
2021/08/03 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.59,439.0,28.0,0.08,3.3
2021/08/03 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.58,439.0,28.0,0.08,3.3
2021/08/03 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.57,438.0,28.0,0.08,3.3
2021/08/03 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.56,438.0,28.0,0.08,3.3
2021/08/04 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.55,438.0,28.0,0.08,3.3
2021/08/04 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.54,438.0,28.0,0.08,3.3
2021/08/04 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.53,438.0,28.0,0.08,3.31
2021/08/04 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.51,438.0,28.0,0.08,3.31
2021/08/05 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.5,438.0,27.0,0.08,3.31
2021/08/05 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.49,438.0,27.0,0.08,3.31
2021/08/05 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.48,438.0,27.0,0.08,3.31
2021/08/05 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.46,438.0,27.0,0.08,3.31
2021/08/06 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.45,438.0,27.0,0.08,3.31
2021/08/06 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.43,438.0,27.0,0.08,3.31
2021/08/06 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.42,438.0,27.0,0.08,3.31
2021/08/06 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.6,6.41,438.0,27.0,0.07,3.31
2021/08/07 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.39,438.0,27.0,0.07,3.31
2021/08/07 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.38,438.0,27.0,0.07,3.31
2021/08/07 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.36,438.0,27.0,0.07,3.31
2021/08/07 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.35,437.0,27.0,0.07,3.31
2021/08/08 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.33,437.0,27.0,0.07,3.31
2021/08/08 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.32,437.0,27.0,0.07,3.31
2021/08/08 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.3,437.0,27.0,0.07,3.31
2021/08/08 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.29,437.0,27.0,0.07,3.31
2021/08/09 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.27,437.0,27.0,0.07,3.32
2021/08/09 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.26,437.0,27.0,0.07,3.32
2021/08/09 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.24,437.0,27.0,0.07,3.32
2021/08/09 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.23,437.0,27.0,0.07,3.32
2021/08/10 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.21,437.0,27.0,0.07,3.32
2021/08/10 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.5,6.2,437.0,27.0,0.07,3.32
2021/08/10 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.18,437.0,27.0,0.07,3.32
2021/08/10 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.17,437.0,27.0,0.07,3.32
2021/08/11 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.16,437.0,27.0,0.07,3.32
2021/08/11 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.14,437.0,27.0,0.07,3.32
2021/08/11 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.13,437.0,27.0,0.07,3.32
2021/08/11 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.11,437.0,27.0,0.07,3.33
2021/08/12 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.1,437.0,27.0,0.07,3.33
2021/08/12 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.09,436.0,27.0,0.07,3.33
2021/08/12 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.08,436.0,27.0,0.07,3.33
2021/08/12 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.06,436.0,27.0,0.07,3.33
2021/08/13 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.05,436.0,27.0,0.07,3.33
2021/08/13 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.4,6.04,436.0,27.0,0.07,3.33
2021/08/13 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.03,436.0,27.0,0.07,3.34
2021/08/13 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.02,436.0,27.0,0.07,3.34
2021/08/14 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.01,435.0,27.0,0.07,3.34
2021/08/14 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,6.0,435.0,27.0,0.07,3.34
2021/08/14 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,5.99,435.0,27.0,0.07,3.34
2021/08/14 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,5.98,435.0,27.0,0.07,3.35
2021/08/15 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,5.97,435.0,27.0,0.07,3.35
2021/08/15 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,5.96,434.0,28.0,0.07,3.35
2021/08/15 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,5.95,434.0,28.0,0.07,3.36
2021/08/15 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,5.94,434.0,28.0,0.07,3.36
2021/08/16 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,5.93,434.0,28.0,0.07,3.36
2021/08/16 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.3,5.92,433.0,28.0,0.07,3.37
2021/08/16 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,5.92,433.0,28.0,0.07,3.37
2021/08/16 18:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,5.91,433.0,28.0,0.07,3.38
2021/08/17 00:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,5.9,433.0,28.0,0.07,3.38
2021/08/17 06:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,5.9,432.0,28.0,0.07,3.39
2021/08/17 12:00:00,白洋湾金墅水源地1,120.3813,31.3749,8.2,5.89,432.0,28.0,0.07,3.39
